newID,Age,Sex,food_production,household,childcare,play,offset,doubled,Society,Year
Aka_1,7,0,76,6,5,50,274,NA,Aka,2010
Aka_2,10,1,0,0,0,6,46,NA,Aka,2010
Aka_3,8,0,80,8,0,58,230,NA,Aka,2010
Aka_4,8,1,5,10,0,48,274,NA,Aka,2010
Aka_5,15,1,0,28,0,41,276,NA,Aka,2010
Aka_6,5,1,2,8,0,115,272,NA,Aka,2010
Aka_7,5,0,14,11,20,85,270,NA,Aka,2010
Aka_8,4,1,14,3,0,167,273,NA,Aka,2010
Aka_9,14,1,37,24,0,4,276,NA,Aka,2010
Aka_10,5,0,1,6,0,123,276,NA,Aka,2010
Aka_11,13,0,21,16,3,20,230,NA,Aka,2010
Aka_12,15,1,26,15,0,34,229,NA,Aka,2010
Aka_13,13,0,82,32,32,14,276,NA,Aka,2010
Aka_14,16,1,23,7,0,56,276,NA,Aka,2010
Aka_15,16,0,43,22,0,11,184,NA,Aka,2010
Aka_16,6,1,22,2,0,72,180,NA,Aka,2010
Aka_17,6,1,3,5,0,112,183,NA,Aka,2010
Aka_18,4,1,0,24,0,90,184,NA,Aka,2010
Aka_19,13,0,47,36,6,40,264,NA,Aka,2010
Aka_20,13,1,72,2,3,63,273,NA,Aka,2010
Aka_21,6,1,1,5,0,97,223,NA,Aka,2010
Aka_22,10,0,28,10,1,84,276,NA,Aka,2010
Aka_23,13,0,21,33,0,19,245,NA,Aka,2010
Aka_24,8,0,33,52,0,30,239,NA,Aka,2010
Aka_25,9,0,1,61,0,20,242,NA,Aka,2010
Aka_26,5,1,4,11,2,109,269,NA,Aka,2010
Aka_27,11,1,19,1,37,96,276,NA,Aka,2010
Aka_28,15,0,87,43,4,7,315,NA,Aka,2010
Aka_29,6,0,54,25,1,102,310,NA,Aka,2010
Aka_30,7,1,1,66,14,87,265,NA,Aka,2010
Aka_31,7,1,42,0,2,57,184,NA,Aka,2010
Aka_32,6,0,10,41,1,120,276,NA,Aka,2010
Aka_33,5,0,6,0,0,81,267,NA,Aka,2010
Aka_34,5,0,1,4,0,40,276,NA,Aka,2010
Aka_35,14,1,5,16,4,41,149,NA,Aka,2010
Aka_36,12,0,4,70,1,53,274,NA,Aka,2010
Aka_37,4,0,0,6,0,72,286,NA,Aka,2010
Aka_38,7,1,4,27,0,36,216,NA,Aka,2010
Aka_39,8,1,0,0,0,82,199,NA,Aka,2010
Aka_40,16,0,87,40,3,17,205,NA,Aka,2010
Aka_41,12,1,0,1,0,76,276,NA,Aka,2010
Aka_42,12,1,11,4,0,96,272,NA,Aka,2010
Aka_43,9,1,9,7,0,132,274,NA,Aka,2010
Aka_44,16,0,0,75,9,7,263,NA,Aka,2010
Aka_45,11,0,16,19,0,56,191,NA,Aka,2010
Aka_46,11,0,8,8,2,11,92,NA,Aka,2010
Aka_47,11,0,36,25,7,11,184,NA,Aka,2010
Aka_48,6,1,0,15,0,128,276,NA,Aka,2010
Aka_49,4,0,15,1,0,50,184,NA,Aka,2010
Aka_50,10,0,34,11,4,27,181,NA,Aka,2010
