newID,Year,Age,Sex,food_production,household,childcare,play,offset,doubled,Society
Dukja_1,2016,4,0,2,7,0,19,235,NA,Dukha
Dukja_2,2012,3,1,3,4,0,46,398,NA,Dukha
Dukja_2,2014,5,1,3,4,0,175,639,NA,Dukha
Dukja_2,2016,7,1,0,5,0,40,218,NA,Dukha
Dukja_3,2012,14,1,23,22,3,3,219,NA,Dukha
Dukja_3,2014,16,1,155,109,4,8,652,NA,Dukha
Dukja_3,2016,18,1,584,218,10,49,1368,NA,Dukha
Dukja_4,2012,16,1,33,25,6,5,233,NA,Dukha
Dukja_4,2014,18,1,229,72,4,10,638,NA,Dukha
Dukja_5,2012,10,0,8,51,0,12,195,NA,Dukha
Dukja_6,2012,17,0,25,54,0,0,204,NA,Dukha
Dukja_7,2012,8,0,0,2,2,4,81,NA,Dukha
Dukja_8,2012,13,1,68,17,4,29,534,NA,Dukha
Dukja_8,2016,17,1,3,25,1,13,136,NA,Dukha
Dukja_9,2012,16,0,50,67,3,5,473,NA,Dukha
Dukja_10,2012,3,0,0,13,0,28,372,NA,Dukha
Dukja_11,2012,4,1,4,9,0,57,334,NA,Dukha
Dukja_12,2012,8,0,7,39,2,21,311,NA,Dukha
Dukja_13,2014,3,1,8,10,0,225,775,NA,Dukha
Dukja_13,2015,4,1,0,2,0,36,63,NA,Dukha
Dukja_14,2012,3,1,0,0,1,5,141,NA,Dukha
Dukja_15,2012,8,0,0,21,10,49,436,NA,Dukha
