newID,Age,Sex,food_production,household,childcare,play,offset,doubled,Society,Year
Hadza_1,6,0,7,0,0,0,9,0,Hadza,2005
Hadza_2,6,0,12,1,0,0,47,0,Hadza,2005
Hadza_3,10,1,27,3,0,6,78,6,Hadza,2005
Hadza_4,9,0,2,16,0,9,37,1,Hadza,2005
Hadza_5,10,1,14,0,0,0,56,0,Hadza,2005
Hadza_6,10,0,37,13,0,0,58,13,Hadza,2005
Hadza_7,12,1,2,0,0,0,47,0,Hadza,2005
Hadza_8,14,1,10,0,3,4,98,4,Hadza,2005
Hadza_9,9,0,7,0,0,0,10,0,Hadza,2005
Hadza_10,5,0,8,5,0,0,13,5,Hadza,2005
Hadza_11,10,0,7,5,4,5,67,2,Hadza,2005
Hadza_12,7,0,0,0,0,8,12,0,Hadza,2005
Hadza_13,6,0,1,0,6,22,23,6,Hadza,2005
Hadza_14,5,0,3,0,0,5,16,0,Hadza,2005
Hadza_15,6,0,0,0,0,2,11,0,Hadza,2005
Hadza_16,9,0,0,0,0,19,24,0,Hadza,2005
Hadza_17,3,0,0,0,1,12,24,1,Hadza,2005
Hadza_18,14,0,4,0,0,0,13,0,Hadza,2005
