newID,food_production,household,childcare,play,offset,Sex,Age,doubled,Society,Year
Matsigenka_Shimaa_01DA1,0,0,0,0,16,0,3.4,NA,Matsigenka,1972
Matsigenka_Shimaa_02DA1,2,9,3,1,23,0,16,NA,Matsigenka,1972
Matsigenka_Shimaa_02SN2,0,0,0,0,23,1,3.2,NA,Matsigenka,1972
Matsigenka_Shimaa_03DA2,12,15,0,0,49,0,18,NA,Matsigenka,1972
Matsigenka_Shimaa_03DA3,12,12,1,0,53,0,16,NA,Matsigenka,1972
Matsigenka_Shimaa_03DS1,0,1,0,1,34,1,7,NA,Matsigenka,1972
Matsigenka_Shimaa_03DS2,0,0,0,0,30,1,3.5,NA,Matsigenka,1972
Matsigenka_Shimaa_06AF2,1,8,2,0,23,0,17,NA,Matsigenka,1972
Matsigenka_Shimaa_06DA1,2,3,0,2,38,0,9,NA,Matsigenka,1972
Matsigenka_Shimaa_06DA2,2,0,1,3,37,0,8,NA,Matsigenka,1972
Matsigenka_Shimaa_06DA3,0,0,0,3,42,0,4.5,NA,Matsigenka,1972
Matsigenka_Shimaa_06DA4,0,0,0,0,45,0,3.5,NA,Matsigenka,1972
Matsigenka_Shimaa_06SN1,5,3,1,3,37,1,11,NA,Matsigenka,1972
Matsigenka_Shimaa_07SN2,0,0,0,3,17,1,6,NA,Matsigenka,1972
Matsigenka_Shimaa_07SN3,0,0,0,0,18,1,3,NA,Matsigenka,1972
Matsigenka_Shimaa_08AD1,0,1,1,1,19,0,8,NA,Matsigenka,1972
Matsigenka_Shimaa_08AD2,0,0,0,1,25,0,4.5,NA,Matsigenka,1972
Matsigenka_Shimaa_08AF3,2,9,2,0,19,0,17,NA,Matsigenka,1972
Matsigenka_Shimaa_08AM1,1,10,0,1,20,1,17,NA,Matsigenka,1972
Matsigenka_Shimaa_08DA1,1,3,1,1,43,0,8,NA,Matsigenka,1972
Matsigenka_Shimaa_08DA2,1,4,0,1,48,0,6,NA,Matsigenka,1972
Matsigenka_Shimaa_08DA3,0,1,0,0,43,0,3.5,NA,Matsigenka,1972
Matsigenka_Shimaa_09DA1,0,0,0,0,55,0,3.5,NA,Matsigenka,1972
Matsigenka_Shimaa_09SN1,11,8,1,9,52,1,8,NA,Matsigenka,1972
Matsigenka_Shimaa_09SN2,0,4,0,5,51,1,6,NA,Matsigenka,1972
Matsigenka_Shimaa_10DA2,1,4,5,0,21,0,11,NA,Matsigenka,1972
Matsigenka_Shimaa_10DA3,0,3,1,1,30,0,8,NA,Matsigenka,1972
Matsigenka_Shimaa_10DA4,1,0,0,0,32,0,7,NA,Matsigenka,1972
Matsigenka_Shimaa_10DA5,0,0,0,0,32,0,4.5,NA,Matsigenka,1972
Matsigenka_Shimaa_11DA1,1,1,1,2,66,0,6,NA,Matsigenka,1972
Matsigenka_Shimaa_11SN1,9,8,1,1,39,1,12,NA,Matsigenka,1972
Matsigenka_Shimaa_12DA1,1,7,2,0,23,0,9,NA,Matsigenka,1972
Matsigenka_Shimaa_12SN1,6,2,1,0,16,1,18,NA,Matsigenka,1972
Matsigenka_Shimaa_13DA1,4,5,1,2,42,0,11,NA,Matsigenka,1972
Matsigenka_Shimaa_13SN1,1,0,0,0,68,1,3.5,NA,Matsigenka,1972
Matsigenka_Shimaa_14ADD,0,12,0,0,20,0,17,NA,Matsigenka,1972
Matsigenka_Shimaa_14AF2,1,2,0,1,22,0,7,NA,Matsigenka,1972
Matsigenka_Shimaa_14FHD,11,12,5,1,66,0,18,NA,Matsigenka,1972
