newID,Age,Sex,food_production,household,childcare,play,offset,doubled,Society,Year
Maya_4,18,0,3,87,7,0,161,0,Maya,1992
Maya_5,12,0,8,77,27,0,162,10,Maya,1992
Maya_6,4,0,5,9,2,69,157,1,Maya,1992
Maya_14,18,0,39,70,10,1,173,2,Maya,1992
Maya_15,16,0,67,58,6,1,196,1,Maya,1992
Maya_16,13,0,16,65,15,1,159,3,Maya,1992
Maya_17,11,1,49,26,2,22,154,2,Maya,1992
Maya_18,8,1,29,3,1,36,153,0,Maya,1992
Maya_19,6,0,15,6,3,32,138,0,Maya,1992
Maya_23,18,1,3,39,6,6,140,1,Maya,1992
Maya_25,13,0,2,82,35,2,148,7,Maya,1992
Maya_26,9,1,2,39,27,45,138,16,Maya,1992
Maya_28,4,0,2,6,9,69,139,4,Maya,1992
Maya_49,17,1,45,13,0,0,137,0,Maya,1992
Maya_52,9,0,1,46,19,34,144,14,Maya,1992
Maya_53,8,0,1,27,13,48,144,3,Maya,1992
Maya_58,15,0,8,126,0,0,164,0,Maya,1992
Maya_93,7,0,2,48,47,35,162,18,Maya,1992
Maya_94,4,0,1,19,16,60,147,2,Maya,1992
Maya_95,3,1,0,3,0,96,144,0,Maya,1992
Maya_130,18,0,21,86,0,0,177,0,Maya,1992
Maya_131,15,0,21,88,5,0,177,3,Maya,1992
Maya_147,6,1,15,4,9,52,132,2,Maya,1992
Maya_148,4,1,2,1,2,105,133,0,Maya,1992
Maya_153,11,1,0,18,0,26,131,0,Maya,1992
Maya_154,8,1,12,9,0,76,133,0,Maya,1992
Maya_155,6,0,4,11,8,75,134,5,Maya,1992
Maya_156,4,1,1,14,8,90,132,8,Maya,1992
Maya_160,5,0,0,17,25,49,145,0,Maya,1992
Maya_192,17,0,2,85,16,0,143,0,Maya,1992
Maya_193,15,1,11,16,0,6,128,0,Maya,1992
Maya_194,9,0,4,36,9,7,132,3,Maya,1992
Maya_197,3,0,1,1,0,88,129,0,Maya,1992
Maya_198,5,1,2,4,1,91,128,0,Maya,1992
Maya_217,5,1,0,1,0,121,150,0,Maya,1992
Maya_218,3,1,0,1,0,102,150,0,Maya,1992
Maya_262,14,1,54,0,0,0,188,0,Maya,1992
Maya_263,12,0,36,49,0,4,182,0,Maya,1992
Maya_264,10,0,4,31,0,50,158,0,Maya,1992
Maya_265,6,0,15,11,0,58,156,0,Maya,1992
Maya_278,6,1,4,8,0,116,155,4,Maya,1992
Maya_279,3,1,0,1,0,122,151,0,Maya,1992
Maya_281,13,0,3,66,10,0,156,1,Maya,1992
Maya_283,17,0,0,100,2,0,161,1,Maya,1992
Maya_289,11,1,27,6,3,26,158,3,Maya,1992
Maya_290,9,0,4,22,39,24,136,9,Maya,1992
Maya_291,8,0,4,11,8,57,131,4,Maya,1992
Maya_292,5,1,2,5,0,88,131,0,Maya,1992
Maya_293,3,0,0,2,1,69,131,0,Maya,1992
