newID,Age,Sex,food_production,household,childcare,play,offset,doubled,Society,Year
Mayangna_1,8,1,6,18,0,20,82,NA,Mayangna,2004
Mayangna_2,17,1,7,1,0,2,29,NA,Mayangna,2004
Mayangna_3,3,0,0,0,0,21,82,NA,Mayangna,2004
Mayangna_4,15,1,9,13,0,1,39,NA,Mayangna,2004
Mayangna_5,6,0,1,8,0,14,48,NA,Mayangna,2004
Mayangna_6,15,1,9,1,0,2,41,NA,Mayangna,2004
Mayangna_7,5,0,0,3,2,42,78,NA,Mayangna,2004
Mayangna_8,3,0,0,0,0,10,37,NA,Mayangna,2004
Mayangna_9,3,1,0,0,0,27,69,NA,Mayangna,2004
Mayangna_10,12,1,7,6,1,12,79,NA,Mayangna,2004
Mayangna_11,5,1,1,1,0,34,80,NA,Mayangna,2004
Mayangna_12,14,0,5,28,0,7,79,NA,Mayangna,2004
Mayangna_13,14,1,19,11,0,8,75,NA,Mayangna,2004
Mayangna_14,8,1,2,2,0,22,75,NA,Mayangna,2004
Mayangna_15,14,1,16,14,0,10,75,NA,Mayangna,2004
Mayangna_16,6,0,0,10,5,12,80,NA,Mayangna,2004
Mayangna_17,6,1,0,3,0,48,82,NA,Mayangna,2004
Mayangna_18,3,1,0,1,0,36,81,NA,Mayangna,2004
Mayangna_19,16,0,9,35,3,0,78,NA,Mayangna,2004
Mayangna_20,16,0,9,30,7,0,80,NA,Mayangna,2004
Mayangna_21,6,1,3,6,0,35,81,NA,Mayangna,2004
Mayangna_22,17,1,6,3,0,2,37,NA,Mayangna,2004
Mayangna_23,4,1,0,1,0,34,82,NA,Mayangna,2004
Mayangna_24,14,0,0,43,1,0,82,NA,Mayangna,2004
Mayangna_25,3,1,0,1,0,10,36,NA,Mayangna,2004
Mayangna_26,14,0,1,9,0,0,19,NA,Mayangna,2004
Mayangna_27,9,0,7,24,2,7,82,NA,Mayangna,2004
Mayangna_28,18,0,7,37,3,0,68,NA,Mayangna,2004
Mayangna_29,4,0,0,0,0,25,78,NA,Mayangna,2004
Mayangna_30,16,1,19,12,0,3,70,NA,Mayangna,2004
Mayangna_31,4,1,0,2,0,43,82,NA,Mayangna,2004
Mayangna_32,12,1,9,10,0,7,48,NA,Mayangna,2004
Mayangna_33,7,0,1,11,3,18,82,NA,Mayangna,2004
Mayangna_34,3,0,0,1,0,21,76,NA,Mayangna,2004
Mayangna_35,16,0,0,16,0,0,23,NA,Mayangna,2004
