"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-4.11862494333333,0.526309851233376,-4.91520075,-2.87665025,840.802352247764,0.999701477894941
"a[2]",-2.227647068,0.326103707777904,-2.79748725,-1.547642,1273.74796924641,1.00147968999368
"a[3]",-2.071354835,0.231436698867937,-2.50200725,-1.573641,2042.56022907625,0.999513887895608
"a[4]",-1.36561088733333,0.208638920137011,-1.7398365,-0.9034617,1565.70836812734,1.00069161837941
"z_id[1,1]",-0.713627707467133,0.776438178580589,-2.391828,0.667953,4225.79780659833,0.99930027630134
"z_id[1,2]",-0.863168592702333,0.775713334653187,-2.46522175,0.5257029,5313.99220865591,0.999412263965665
"z_id[1,3]",-0.361792118141333,0.824988951410126,-2.0608725,1.152024,5756.78985805122,0.999269572019977
"z_id[1,4]",-0.661746978447333,0.792320608142503,-2.29229225,0.782579925000001,4177.40190383337,0.999345194506109
"z_id[1,5]",-0.5365471100654,0.801004042690499,-2.28266175,0.903072125,5162.83588939473,0.999593181453233
"z_id[1,6]",-0.551814736252,0.816305868702765,-2.27579325,0.9105205,4745.34064975608,0.999879085153089
"z_id[1,7]",-0.539180393423767,0.765590633611269,-2.11989125,0.82121195,4523.0043861263,0.999873869339188
"z_id[1,8]",-0.430209419108667,0.802931509545372,-2.12269375,0.9718851,5343.02549952634,0.999505659056899
"z_id[1,9]",-0.459754340254667,0.779819213865436,-2.060972,0.960756250000001,3998.56547241607,0.999587366411912
"z_id[1,10]",1.502408943002,0.495862815853312,0.505874975,2.491273,3183.78036877559,0.999447161924207
"z_id[1,11]",1.14319857783333,0.437047917138362,0.2843149,1.97570425,2834.68407577081,1.00017323875869
"z_id[1,12]",1.04809861064333,0.467711361519087,0.116871225000001,1.94448925,2644.30288485657,0.999589812832883
"z_id[1,13]",-0.2773305069942,0.822389060994693,-1.92568975,1.20767825,5008.5892909319,0.999198398504064
"z_id[1,14]",1.13627149749,0.519817867133277,0.03040306,2.0919425,3415.31878619058,1.00050677178591
"z_id[1,15]",-0.895106369804,0.771156296715712,-2.506154,0.5027434,4236.33521650101,0.999316895494329
"z_id[1,16]",0.834014932006667,0.308300200382895,0.19445065,1.4059505,2480.20354214935,1.00022032093827
"z_id[1,17]",-0.81344002775,0.678855978417493,-2.3204405,0.37206975,4267.84175180639,1.00030207531001
"z_id[1,18]",0.458129301768,0.362095070177184,-0.325557325,1.098911,2471.49014395596,0.999496762634836
"z_id[1,19]",-0.646153637881,0.628307673532415,-1.9793915,0.485138475,3097.85240697713,1.00021441884544
"z_id[1,20]",2.02691244666667,0.207649848088276,1.62481775,2.43039125,1141.50491896894,1.00650532992715
"z_id[1,21]",-0.915286345531367,0.657688269022204,-2.3127335,0.2197875,3591.69166672467,0.999824805988103
"z_id[1,22]",-0.403897969800667,0.611205655224643,-1.70064825,0.662711875,3611.66818270454,0.999557925119808
"z_id[1,23]",-0.809285384282,0.74858023360166,-2.41820675,0.4980599,3844.6558386026,0.999552943658372
"z_id[1,24]",-0.527943986457,0.702657131780998,-2.03487775,0.745998375,3617.57466798196,1.00002117570567
"z_id[1,25]",-0.164315765261133,0.602824414738136,-1.47114025,0.88960695,3150.79556812379,0.999818180860001
"z_id[1,26]",1.0032609611,0.282097338152128,0.42364705,1.55734175,2033.52598000441,1.00079375119733
"z_id[1,27]",-0.845411485391,0.837178670176754,-2.59420175,0.629281350000002,5010.68148236557,0.999454639538306
"z_id[1,28]",0.479708622932667,0.382043078038424,-0.286810125,1.1786375,2535.10731654479,0.999382533196312
"z_id[1,29]",-0.777639822761667,0.69003984516121,-2.185133,0.446184175,4473.62446525077,1.00016870040946
"z_id[1,30]",-0.135305084221067,0.530533591710673,-1.27133775,0.77594845,2694.5305689854,1.00023518625632
"z_id[1,31]",-0.5198709845829,0.585844644371235,-1.77851075,0.478516275,3129.18693628341,0.999598032449857
"z_id[1,32]",-0.295744574343833,0.569826165511122,-1.50588725,0.689582225,2494.36480689316,0.999412826935923
"z_id[1,33]",-0.369155602996333,0.560103112455116,-1.5547325,0.61768315,3558.8091408711,0.999630269500082
"z_id[1,34]",0.278476782858667,0.433973264626205,-0.698275375,1.041167,2893.5509292397,1.00052749561836
"z_id[1,35]",2.06653638,0.207651621065844,1.6653395,2.48406825,1173.43922662225,1.00352567199159
"z_id[1,36]",0.656816448774143,0.321454517012529,-0.00992641724999974,1.256298,2163.18873108361,1.00078650556366
"z_id[1,37]",0.0751900627970333,0.474057552436463,-0.974163225,0.897637525,2848.12722405141,1.00000704817877
"z_id[1,38]",-0.522858079476667,0.683560339306857,-2.03543525,0.694856475,3633.01635318993,0.999566800623198
"z_id[1,39]",1.65739898833333,0.230067707216798,1.2042805,2.103961,1419.10473032196,1.00142214458589
"z_id[1,40]",0.3717698818546,0.461582796710426,-0.643362899999999,1.173863,3261.46988960571,0.999605405432672
"z_id[1,41]",0.235274206403667,0.457083437224957,-0.74547905,1.047331,3352.55826986655,1.00000386224362
"z_id[1,42]",-1.31333321871507,0.762098387026384,-2.90190675,0.0535207275000003,4473.57566969816,0.99931396571484
"z_id[1,43]",-1.11113569225333,0.696459821347702,-2.58865275,0.138444775,3577.27914964046,0.99989858279171
"z_id[1,44]",0.992866257416667,0.31834009720579,0.31535245,1.59522975,2157.34791529957,1.00052795604961
"z_id[1,45]",0.122553182535,0.467146504083926,-0.920600874999999,0.945807025,2736.94552155707,0.999500199598671
"z_id[1,46]",-0.971619885874667,0.671087502568713,-2.39535675,0.195227025000001,3806.55143703195,0.999918530078113
"z_id[1,47]",-0.473726317857333,0.59376577494625,-1.74969775,0.568643375000001,3955.43553547514,1.00088953029016
"z_id[1,48]",-1.22690108842233,0.783766163428307,-2.85029175,0.158049025,5545.74064129332,0.999467703427806
"z_id[1,49]",-0.867169024850667,0.645031534618416,-2.23556375,0.26048625,3873.16676652642,1.00002117320194
"z_id[1,50]",1.04115873392,0.345411439155465,0.3077427,1.663022,2531.10293827381,0.999619033600138
"z_id[1,51]",-1.267264869264,0.735175599989047,-2.79114875,0.0222681800000002,4068.393321778,0.999245503226742
"z_id[1,52]",-0.941824372731333,0.691045308458857,-2.4212515,0.254833925000001,4468.4300957745,0.999890492133052
"z_id[1,53]",-0.72233307095,0.677878943757238,-2.180562,0.445778375,3274.75326615589,1.00203927007072
"z_id[1,54]",1.13339113966667,0.244756516909585,0.657418925,1.60349075,1470.72545721424,1.0026217715243
"z_id[1,55]",-0.392110290294333,0.623443933146656,-1.72057925,0.682346425,3508.31409122674,1.00048704954901
"z_id[1,56]",0.675413990643333,0.41586256612014,-0.19464965,1.40459425,3059.83873995384,1.00216420325911
