"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"a[1]",-3.93382437433333,0.682670152740126,-4.955521,-2.1938375,833.740315058313,1.00107385310219
"a[2]",-3.16994315,0.280842211187776,-3.64476275,-2.5404735,921.610591619307,1.00005653077311
"a[3]",-2.80878307633333,0.30638492657672,-3.319789,-2.10367625,1052.39250458552,1.00142882599499
"a[4]",-1.02982991756667,0.208893975623274,-1.41967425,-0.5982888,1361.09181914138,1.00026121304943
"b_sex[1]",-1.181449351,0.270277174626726,-1.7094385,-0.6742522,1254.49918433793,0.999643075020674
"b_sex[2]",0.0234837718415,0.19415357012407,-0.363236225,0.4050563,987.624334169257,1.00094976774422
"b_sex[3]",-0.126024547135667,0.139468598436814,-0.404743125,0.140504825,1026.80969533341,1.0022251078048
"b_sex[4]",0.664564636666667,0.112477239787117,0.4453826,0.879793,727.062752006293,1.003454970922
"b_middle[1]",1.325847821,0.227791206435773,0.8852437,1.78051275,988.577813315751,1.00785448851653
"b_middle[2]",0.919483053333333,0.14812481209109,0.627357725,1.203323,1002.12764954774,1.00204300545536
"b_middle[3]",1.49906024333333,0.118531498879621,1.27240575,1.73544525,865.624886245905,1.00401557019441
"b_middle[4]",-0.321686033163333,0.104627663635045,-0.5224218,-0.112304925,822.770546040559,1.00102033952745
"b_ado[1]",1.79565836666667,0.237459465881747,1.33682675,2.26957525,934.131065890408,1.00484568531216
"b_ado[2]",1.25407618,0.17929180492794,0.894529425,1.5948005,856.326491284857,1.0057868274464
"b_ado[3]",2.09914737333333,0.125854616925381,1.85506775,2.33994825,825.303820867773,1.00489223490155
"b_ado[4]",-2.16950905333333,0.145441646419477,-2.46345725,-1.8867045,1140.28430929355,1.00010240580437
"b_sex_middle[1]",-0.404543964977667,0.343009046507797,-1.084112,0.2836425,1340.8520726089,1.00377449247814
"b_sex_middle[2]",0.299084102779833,0.222527981946248,-0.159541925,0.711574975,897.858368734638,1.00184884927514
"b_sex_middle[3]",-0.660299846333333,0.174921193534431,-1.0068835,-0.319351475,897.70318219534,1.00317288165842
"b_sex_middle[4]",-0.223887435858067,0.143893301048585,-0.50540725,0.0605918625000001,773.833727414517,1.00131612072771
"b_sex_ado[1]",-1.186863994277,0.385457969712051,-1.9143085,-0.411012875,1322.91253794312,1.00286722478507
