Society,NPP,meanAnnualTemp,tempSeasonality,totalAnnualPrec,precSeasonality,sum_density,snake_count,div,nonforaged,water_rating,mammal_count
Agta,1389.7,25.23138934,167.1381282,2653.686712,46.30627174,0,4,0.02,0.5,1,0
Aka,886.7,24.75750044,86.44589377,1551.033359,52.80546425,12.25,11,-0.08,0.487179487,1,4
Baka,1120,24.15888928,74.95986383,1570.260026,56.16762052,12.25,12,-0.15,0.3,1,4
BaYaka,969.6,24.80805593,62.73745824,1616.513367,40.17078858,12.25,9,0.2,0.3,1,4
Dukha,142.4,-6.708055635,1449.413551,411.1966738,92.16831805,0.03,0,-0.19,0.860215054,1,2
Hadza,601,21.44305589,120.0007368,673.7433448,91.62912472,11.91,6,0.18,0.046296296,2,6
Matsigenka,2438.6,17.70888918,89.18269077,834.5300159,76.03962096,0.49,6,0.99,0.965,2,3
Maya,540,26.19888939,225.1156856,1058.723353,72.23253527,0.06,5,1.02,0.94,1,2
Mayangna,1220.5,25.89472261,96.86627533,2715.840048,50.59514034,0.06,6,0.99,0.769230769,1,2
Mikea,1191.6,23.73055591,253.037106,516.3566761,125.1003774,0,0,-0.02,0.450236967,4,0
Pume,524.7,27.77444495,115.0344175,2069.460034,81.03466076,0.06,3,-0.64,0.071146245,1,2
Tsimane,1952.5,26.1141671,151.8892391,1829.210031,54.86934082,0.04,11,0.43,0.765402608,2,1
